	04_001_a	04_001_b	04_001_c	04_001_d	04_001_e	05_001_a	05_001_b	05_012_a	05_012_b	06_001_a	06_001_b	06_004_a	06_004_b	06_004_c	06_004_d	06_004_e	06_006_a	06_006_b	06_010_a	06_010_b	07_001_a	07_001_b	08_003_a	08_003_b	08_006_a	08_006_b	08_006_c	08_006_d	08_006_e	13_019_a	13_019_b	13_019_c	13_019_d	13_019_e	13_022_a	13_022_b	15_006_a	15_006_b	17_004_a	17_004_b
Bifidobacterium_dentium	80	1	0	0	45	72	41	119	119	195	53	37	21	145	2	8	65	38	476	0	88	60	200	0	965	0	8	0	0	145	0	0	0	0	153	0	151	103	55	42
Gardnerella_vaginalis	2246713	1323	1630	3762	1567389	7221824	5502927	1329248	151059	2847916	1272014	1248339	2456	1203561	27111	25490	3634065	3063908	7146152	3013	5244027	4056484	1118839	3377	8812928	1359	5146	1910	1213	5633419	9041	5882	19100	3948	2610700	3983	3761824	4930591	3520153	7400023
Corynebacterium_aurimucosum	10	0	0	0	0	43	15	213	4	12	8	4	0	16	0	3	61	5	2	0	23	7	15	0	5	0	11	0	3	0	0	0	1	0	1	0	1	8	0	3
Corynebacterium_genitalium	0	0	0	0	0	3	3	19	1	6	21	2	1	3	0	1	85	25	0	1	1	0	107	1	7	0	18	0	0	2	4	1	0	0	346	0	1	3	1	1
Corynebacterium_glucuronolyticum	420	1	0	0	10	71	143	93	7	25	15	72	0	148	17	22	119	167	105	3	125	90	135	2	11	0	1530	25	1	30	5	1	2	0	1195	0	40	28	20	3
Corynebacterium_jeikeium	5	0	1	0	0	3	4	852	3	14	5	2	1	2	0	22	60	16	5	4	7	7	63	0	9	0	466	6	0	5	1	0	2	0	7	0	4	0	0	7
Corynebacterium_lipophiloflavum	2	0	0	0	0	8	1	7	1	1	5	1	0	1	0	4	29	4	0	0	1	0	8	0	4	1	26	2	1	4	4	1	3	0	0	0	5	8	1	0
Corynebacterium_pseudogenitalium	4	2	0	1	1	98	61	16	21	24	13	1	8	1	1	135	27	8	4	5	26	24	10	3	29	2	48	27	11	7	23	0	9	2	13	0	14	27	5	5
Corynebacterium_striatum	0	2	0	0	1	9	2	57	1	3	11	39	1	2	1	21	8	4	211	2	3	1	5	0	16	2	6	0	0	3	2	4	9	0	369	0	5	0	5	0
Mycobacterium_parascrofulaceum	0	0	0	0	0	1	0	21	1	2	0	2	1	1	0	4	4	0	2	0	0	0	17	0	15	0	3	0	0	9	2	0	2	0	5	0	0	1	0	2
Brevibacterium_mcbrellneri	2	0	0	0	0	2	1	21	0	19	15	3	0	0	0	4	32	9	4	0	2	0	17	0	2	0	0	0	0	8	0	0	0	0	1	0	0	0	2	0
Propionibacterium_sp_409-HC1	7	3	8	8	3	4	13	1	4	4	8	4	0	0	3	13	5	8	4	4	10	5	26	13	6	5	15	8	10	2	16	36	20	10	2	3	1	15	2	2
Propionibacterium_sp_434-HC2	11	2	5	4	5	4	6	3	8	1	5	2	2	2	2	5	4	8	8	3	6	2	12	5	4	4	21	7	1	1	14	22	14	11	0	0	1	6	12	35
Propionimicrobium_lymphophilum	4	0	0	0	6	0	15	22	0	22	24	5	0	1	0	0	4	5	23	2	0	0	8	0	20	0	172	2	0	2	0	0	0	0	0	0	2	1	3	25
Propionimicrobium_sp_BV2F7	1	0	0	0	6	1	7	48	0	24	4	33	0	6	0	0	3	0	23	0	8	4	6	0	15	0	182	0	0	43	0	0	0	0	17	0	19	19	6	17
Atopobium_parvulum	756	0	0	0	244	38	11	223	246	593	229	491	5	2163	38	101	35	69	277	32	498	138	715	0	374	0	7	1	1	74	0	0	1	0	278	0	784	182	68	129
Atopobium_sp_BV3Ac4	2818	2	4	1	1576	406	189	764	47	619	598	1948	0	7024	4	1	67	118	1243	1	1376	874	677	0	2849	0	14	1	3	1053	3	1	11	0	257	0	26	29	131	357
Atopobium_vaginae	524847	133	125	194	376736	1038711	529531	1354880	14768	848278	558051	234227	381	274690	2581	261	645842	678334	1660735	716	1159419	1898846	4126311	662	263003	160	925	404	275	1437900	1109	615	2863	566	350023	713	71666	193198	407093	1716014
Coriobacteriaceae_bacterium_BV3Ac1	181	9	0	0	368	288	214	242	7	318	136	1891	0	180	1	2	166	361	725	0	257	71	375	0	560	0	7	1	1	704	3	0	2	2	594	1	270	333	88	171
Porphyromonas_asaccharolytica	125	8	3	7	31	15	39	6034	3	10226	432	26544	3	1064	4	2	242	2870	4707	0	63	12	2067	0	131	2	115	10	5	21787	2	0	4	0	9794	1	46	10	43	118
Porphyromonas_uenonis	277	40	27	38	612	19	24	43384	11	78987	4331	220602	51	258	30	28	1747	32544	49635	10	24	34	13961	21	454	31	396	44	37	247319	14	9	22	13	177695	20	155	19	317	441
Prevotella_amnii	29397	305	347	469	39764	3008	916	782491	606	23262	9372	2290928	24	58990	21	16	8067	74408	46125	124	284021	4869	7129	35	2900	236	201	98	14	19559	280	100	206	96	20298	5	2369	3592	2029	3818
Prevotella_bivia	197993	121	105	144	840493	174994	30944	6329	612	8098	4010	13681	765	2802111	764	1160	3853	10126	76243	44	1147	182890	72226	193	336406	163	1159	347	655	736903	171	236	758	69	121334	200	260070	331326	46054	328569
Prevotella_buccalis	34649	25	19	11	63030	1240	430	38948	7	14229	8560	32481	13	35331	27	22	13068	42243	23136	9	3220	727	39005	9	5302	12	1063	20	8	51234	16	16	113	6	36971	10	1515	1621	5407	4932
Prevotella_denticola	4462	8	15	16	2231	397	83	6688	67	20845	10726	82252	6	22191	4	19	1115	3603	18135	9	5577	1041	2037	5	2259	9	41	3	3	7551	2	3	16	2	23433	1	412	559	855	4886
Prevotella_disiens	5088	23	23	20	7641	1149	326	88945	163	6111	58596	143307	13	34514	29	30	4657	20927	28071	12	2193	3094	7140	29	21278	27	326	23	21	56244	45	25	39	14	119184	30	1467	2298	6858	54323
Prevotella_melaninogenica	168101	20	26	31	6181	436	65	8718	582	4869	2758	17629	6	13229	27	140	1490	8975	937884	54	3218	1122	1813	68	1563	17	78	39	4	2730	4	7	406	9	750701	103	465	527	639	617
Prevotella_oralis	354	3	1	1	806	45	6	2176	3	9662	7344	2741	3	12075	3	12	116	258	1057	6	7017	86	649	1	276	1	43	1	1	3616	0	1	2	0	1290	1	107	9	68	137
Prevotella_ruminicola	66	0	0	0	13	2	1	1070	5	847	92	557	0	9844	2	190	38	51	705	1	1865	21	107	2	41	0	6	1	4	240	0	2	0	0	519	0	132	9	14	10
Prevotella_sp_BV3P1	76151	42	32	33	140529	3485	955	93301	15	52657	21529	73502	25	65145	45	40	19922	58500	16238	16	4730	346	76038	21	9056	22	719	26	25	94327	36	24	225	16	103910	28	1043	801	4687	2886
Prevotella_timonensis	2144277	539	489	571	2323131	92713	23555	205104	82	711696	517831	585217	331	1314830	563	281	507459	1621122	333527	282	89360	745	1475821	275	179265	431	8551	249	306	337409	101	136	4560	43	1331553	332	4929	3270	138380	65100
Chryseobacterium_gleum	6	0	2	0	5	7	2	18	7	54	54	54	1	6	1	22	69	105	4	0	10	5	2	0	1	0	3	0	0	1	2	2	2	0	69	0	1	2	104	0
Sphingobacterium_spiritivorum	1	0	0	1	1	0	1	11	0	0	4	25	0	5	1	5	2	4	7	1	0	1	0	0	3	0	5	0	2	1	1	0	1	0	7	0	3	0	0	8
Staphylococcus_aureus	66	0	6	2	119	74	21	143	15	17	9	9	3	291	9	1480	22	10	91	6	80	85	9	1	374	1	46	4	2	145	11	3	2	0	90	1	30	72	3	8
Staphylococcus_epidermidis	104	5	27	4	90	1042	136	237	75	391	222	340	35	751	9	28109	105	194	659	34	259	710	289	37	481	7	217	52	20	94	57	72	53	3	663	5	92	96	134	201
Staphylococcus_lugdunensis	19	0	0	1	34	36	13	25	11	14	13	8	2	123	2	1634	6	5	25	2	16	24	4	1	56	2	50	5	3	22	16	1	2	0	67	1	11	30	4	8
Staphylococcus_simulans	91	3	20	1	101	174	63	186	78	90	83	142	4	267	2	1261	44	72	319	8	98	158	83	0	481	0	93	7	2	157	4	2	2	2	220	0	33	83	26	64
Aerococcus_urinae	2386	2	0	1	880	8835	1171	432	280	5711	763	1030	2	8117	79	415	464	234	20494	8	2187	17233	5059	7	3742	0	66	6	2	775	5	2	5	2	2385	6	4082	2979	1615	3626
Aerococcus_viridans	450	0	0	1	159	1052	140	284	101	1101	782	991	2	1142	7	605	480	1335	3256	1	283	2539	878	0	726	1	6	0	0	265	2	1	1	1	1944	1	636	484	410	535
Eremococcus_coleocola	117	0	0	12	343	527	67	888	38	529	356	979	2	365	3	146	270	658	917	4	365	796	353	3	257	0	32	0	0	742	8	3	13	1	1751	2	374	190	162	328
Facklamia_hominis	288	2	18	9	386	406	167	3258	175	1106	623	1093	7	1399	6	175	436	624	246	8	332	554	534	2	512	0	141	8	0	166	23	25	32	4	1779	4	478	257	375	739
Enterococcus_faecalis	311	3	5	5	252	2666	5033	411	1140	855	318	592	15	1266	16	569	151	295	3199	10	370	2485	784	5	634	13	72	16	5	194	22	59	32	7	1798	5	782	655	328	591
Enterococcus_faecium	61	0	0	0	41	179	33	131	30	147	27	78	11	176	2	262	35	24	442	1	71	219	146	0	106	0	10	0	0	43	1	0	0	0	138	0	117	73	32	100
Lactobacillus_coleohominis	1	0	0	1	0	1	1	2	159	1	3	4	20	6	8	26884	2	2	13	1206	1	2	0	1379	63	165	35124	1585	203	5	5	20	5	2	4	917	1	3	0	1
Lactobacillus_crispatus	942	793	779	1266	929	95	6	15	134	33	18	918	5716	13828	1495	23829	12	21	435	742	5	140	307	1607593	4228	6747824	9372972	4405826	5038186	1238	73	46	575	1	783	7572	124	222	74	126
Lactobacillus_delbrueckii	14	1	1	0	10	23	9	11	35	58	11	8	34	53	13	7	17	24	85	18	7	38	49	9	26	23	52	9	14	10	5	3	4	0	10	2	7	12	27	34
Lactobacillus_fermentum	0	0	1	0	1	0	1	0	613	1	6	1	159	40	2	5304	0	1	2	190	1	0	1	340	7	24	445	203	24	1	1	7	1	0	1	0	1	42	0	0
Lactobacillus_gasseri	54	3	10	44	38	104	24	25	4223	383	545	677	10237	47183	551870	5794	411	1173	208	525308	146	106	66	1068	5230	3388	10076	6273	1575	69	42	161	315	10	764	109	38	148	215	30
Lactobacillus_iners	101191	527430	3546313	2723204	43201	220411	1274262	186576	1941279	47928	26124	78264	1088169	969312	2577611	7255739	299051	80103	305146	1039120	14115	335506	2328098	112066	1114571	7820	170422	706394	1352	180550	7371833	4102633	7245259	1696240	53670	515172	1009763	1146113	9787	12549
Lactobacillus_jensenii	70	24	35	189833	180	94	22	407	91	764	1301	1159	75	220	2201	143228	1135	1743	335	723	269	414	3461	92631	1378	67103	240375	235995	36589	230	80	89	69	5	1525	942265	93	120	1292	98
Lactobacillus_johnsonii	31	0	0	0	33	181	23	53	26	53	19	20	42	222	1170	148	28	16	223	1406	31	247	98	5	61	6	27	9	5	52	2	2	2	0	62	1	82	43	15	46
Lactobacillus_oris	6	0	0	0	1	16	2	26	16057	7	3	7	491	71	1	592	0	5	26	149	6	32	7	201	30	9	362	128	11	20	8	54	20	0	2	0	15	7	2	0
Lactobacillus_salivarius	148	0	1	1	160	116	27	438	50414	334	387	193	3505	256	20	6633	67	61	242	5	163	378	332	16	458	2	42	2	4	57	11	5	8	3	421	1	124	169	164	248
Lactobacillus_vaginalis	14	2	2	1	13	79	14	3	13389	38	15	35	318	151	57	19129	13	38	144	28967	19	126	39	22849	1358	2711	64190	27128	2629	19	80	3506	815	3	40	1	47	23	10	18
Streptococcus_agalactiae	32	0	3	2	158	145	19	162	956	98	44	251	66	239	52	15317	117	238	286	8	51	176	307	7	413	0	236	2	0	92	45	8	12	0	5625	3	95	164	241	105
Streptococcus_equinus	5	4	10	3	1	35	12	16	1137	37	26	3	97	32	23	1679	2	5	64	1	7	45	11	0	56	1	231	8	1	50	2	1	0	0	182	2	9	185	6	38
Streptococcus_pseudoporcinus	102	0	4	3	207	98	72	2529	766	476	241	742	60	2575	1829	856	115	231	397	3	327	437	787	4	276	0	215	5	2	580	6	4	4	2	975	0	92	155	498	105
Streptococcus_urinalis	115	4	34	7	55	175	42	168	229	358	286	675	32	315	26	1419	159	446	129	9	71	50	166	1	247	0	184	8	0	159	42	60	74	6	1132	12	64	140	199	186
[Eubacterium]_rectale	598	11	30	28	421	172	48	8528	25	43940	83837	134978	1	43	1	15	60714	143281	165	15	1199	987	9431	26	100	15	28	3	12	2930	2	0	1	2	150443	22	19	33	32411	92
Peptostreptococcus_anaerobius	1038	95	124	164	1050	359	776	11744	2944	2672	107209	703605	127	443178	74	11509	2081	115665	744	18	1053	3458	2110	44	82363	71	455	78	102	77118	62	42	21	2	485118	86	1482	2600	2431	3446
Mageeibacillus_indolicus	27795	3	16	12	5027	2751	668	233175	95	127751	60958	12216	100	10865	241	56	6345	13704	2869	301	19241	29040	158312	69	3163	13	43	30	8	20512	481	402	693	131	5738	24	1613	1052	10331	8202
Acidaminococcus_sp_BV3L6	58	0	0	0	118	51	11	596	4	168	215	80	0	17	0	1	95	193	23	1	115	154	318	0	24	0	11	0	0	134	0	0	0	0	346	0	8	5	117	28
Dialister_micraerophilus	57431	25	28	26	40613	9689	4012	27049	971	44772	22020	41446	23	52197	127	1118	7014	13694	28917	13	11362	20911	12948	12	22207	14	576	14	24	20564	22	15	136	9	23979	14	8923	7606	10147	30681
Megasphaera_genomosp_type_1	292330	59	59	75	215375	16176	41735	11689	152	39008	29925	113177	364	84854	7208	66	75837	76952	53972	107	55183	58521	67290	44	2268	43	148	14	28	61713	23	8	484	25	89983	59	31344	60392	69978	48357
Megasphaera_sp_BV3C16-1	8004	3	2	4	1058	193	300	1067	377	687	535	6297	1	731	33	25	2329	5015	503	2	2509	541	1116	2	12463	0	48	1	1	1144	0	1	8	0	10972	1	323	474	1879	246
Megasphaera_sp_UPII_199-6	275231	57	69	74	272656	16611	40154	9252	23	33559	20911	130548	447	93035	7934	34	63457	69723	43994	35	51106	51449	51452	39	524	43	57	26	30	55646	20	7	478	22	69819	43	27040	58218	56125	34346
Veillonella_atypica	30	1	0	0	98	41	7	353	2658	222	112	54	13	80	0	1845	72	93	36	3	141	96	196	5	544	0	51	33	0	196	6	3	3	2	69	0	36	237	118	57
Veillonella_parvula	64	0	0	0	47	18	19	137	1184	88	74	30	11	21	14	708	53	113	19	1	746	10	13	1	850	1	66	11	0	15	5	1	1	0	43	1	10	61	34	26
Veillonella_seminalis	482	1	0	0	33	117	66	107	63	314	254	493	0	414	1	211	122	266	381	0	110	180	190	1	690	0	8	0	0	114	0	0	1	0	635	0	98	60	146	69
Anaerococcus_hydrogenalis	966	49	16	19	687	110	123	950	290	1767	1887	4444	4	2108	9	1628	970	3142	1695	42	1062	2738	1296	15	98423	24	258	115	5	499	267	115	58	10	8020	9	803	1058	1827	1777
Anaerococcus_lactolyticus	629	23	3	1	536	342	2677	3409	32	3781	3570	6613	1063	5137	1267	1163	1716	5102	5830	4	438	516	833	5	2680	1	2685	30	9	4006	15	9	7	0	44032	10	1478	812	1557	685
Anaerococcus_prevotii	663	63	4	7	1151	254	377	1434	175	2555	1874	4539	3	2884	4	717	1669	4858	926	6	777	1008	786	4	1297	3	303	17	1	977	119	66	12	2	5509	1	884	712	579	1491
Anaerococcus_tetradius	52639	92	34	46	201845	1961	981	48849	248	42397	56769	65109	111	466417	115	1802	15852	53727	73201	27	13072	14223	15548	46	15295	34	426	65	117	66325	91	82	210	9	196878	66	12767	64834	8164	66733
Finegoldia_magna	7817	52	27	22	4908	1528	6246	10221	4664	19512	11323	21196	55	214147	35	6489	3453	8471	37606	52	4174	6386	9363	39	7726	30	30430	347	58	11875	498	183	114	17	30585	27	3483	6076	4842	7482
Peptoniphilus_duerdenii	456	12	3	2	570	427	1243	5759	56	2597	1140	2458	6	3476	3	135	987	2733	43388	3	502	214	1065	2	1690	1	2613	5	4	3171	5	7	14	2	16380	3	166	219	313	1258
Peptoniphilus_harei	31821	47	24	43	57716	3646	2887	2341	700	140805	45040	71633	113	384008	79	891	17376	5354	73605	45	44246	1795	100086	20	34767	34	5596	165	107	17606	91	70	121	4	34361	31	2011	3385	782	40113
Peptoniphilus_indolicus	407	5	5	10	473	97	51	2677	17	4266	6856	1955	1	2619	9	26	462	713	676	2	1016	1104	846	1	1013	0	356	7	0	2399	7	2	6	1	13168	2	479	306	1637	879
Peptoniphilus_lacrimalis	1661	56	76	94	3303	3240	3051	128055	983	313465	139324	413200	34	6687	31	96	6807	15830	113631	39	2230	2195	6559	55	55990	52	17327	66	38	147349	48	15	58	19	442237	91	1394	781	39878	4453
Peptoniphilus_sp_BV3AC2	255	21	2	1	589	256	289	5960	696	3168	3323	5633	1	3687	3	104	1060	2397	21265	138	649	514	1018	2	1023	4	4498	20	3	1859	136	150	213	41	26924	6	971	749	365	495
Peptoniphilus_sp_BV3C26	1204	7	3	8	1987	165	91	4827	21	27974	17636	26740	9	3793	8	226	2629	6126	1582	3	2435	1891	1764	7	2513	7	1254	93	1	2624	619	603	881	162	14113	6	850	449	3119	1725
Fusobacterium_nucleatum	1340	0	0	0	327	377	135	10211	114	2250	2003	2194	0	1901	85	54	1175	1218	124	3	1725	1512	704	0	1698	0	31	4	0	1099	16	18	7	2	5082	1	446	401	597	1157
Sneathia_amnii	1963764	352	393	484	836453	45317	1240	6060992	1305	933121	1929577	238123	385	1649442	718	227	649575	1228202	1277	294	39991	186306	198030	181	741291	395	445	137	325	7672	1446	735	4769	744	1202065	298	8195	5731	186732	182097
Sneathia_sanguinegens	958292	229	214	307	794692	252035	19525	266878	445	162235	430225	217470	514	16941	1044	276	194830	810305	430	123	72626	2257	2818	644	225439	319	330	142	105	434098	465	444	2487	228	1366308	785	1020587	642195	67211	1346118
Roseomonas_cervicalis	1	0	1	0	3	1	2	11	1	8	4	25	0	1	0	0	4	1	19	0	8	4	8	1	9	1	3	0	0	9	1	1	7	0	96	0	1	1	4	1
Campylobacter_ureolyticus	218	10	5	2	40	79	257	4697	36	262	262	70	0	59	24	63	300	410	238	17	39	61	98	3	37	38	4494	48	13	93	92	240	123	12	3106	1	84	63	41	490
Escherichia_coli	51	12	61	32	34	235	91	66	565	43	148	103	404	384	213	124	158	90	46	86	69	137	94	49	46	127	183	113	65	51	274	302	427	91	46	37	54	113	117	70
Klebsiella_pneumoniae	1	0	3	1	2	7	3	6	6	11	7	48	2	4	3	15	5	11	4	0	4	6	5	1	2	6	6	7	1	1	12	16	10	0	8	2	2	4	9	4
Proteus_mirabilis	11	0	1	0	8	0	0	14	2	23	11	6	1	28	1	40	11	9	7	1	7	6	53	1	4	1	0	0	0	11	1	3	3	0	5	0	35	241	13	5
Haemophilus_parainfluenzae	1	0	0	2	3	6	14	2	97	7	11	4	10	36	3	3965	4	0	71	1	2	17	9	3	9	2	192	6	0	225	5	5	2	0	28	1	2	4	10	7
Acinetobacter_baumannii	53	0	1	1	86	67	10	235	3	283	174	349	1	244	1	29	105	190	56	2	130	120	134	2	241	2	7	4	4	34	2	12	35	0	655	3	155	119	65	167
Treponema_phagedenis	245	2	0	0	298	15	3	924	1	414	284	59	1	154	1	3	66	207	7	1	183	251	519	0	8	0	4	6	0	379	1	0	3	1	162	0	18	30	181	26
Jonquetella_sp_BV3C21	15	0	0	0	33	2	4	11	1	121	261	300	0	3	2	0	53	548	61	2	107	59	33	0	9	0	20	0	0	6	0	2	3	0	414	1	107	65	35	5
Mycoplasma_hominis	73494	18	21	19	71263	718	12	6143	10	72	94	99	156	680301	197	71	6003	224	19	4	1295	52	19	13	214	14	170	65	126	108	3	35	153	0	50273	12	29	29	5702	23661
