	Hw	Bg	Bd	Bcw	Jw	Jl	Bp	Bac	Bch	Fc	Fdw	Faw	Bc	Fp	Fpl	Fal	Fdl	Hh	Hg	Ba	Jm	Hal	Hpl	Ed	Hs	Hl	Mass	Sex	Habitat
137	19.60	24.90	25.50	8.70	9.90	28.30	79.01	32.63	16.55	31.72	22.76	18.33	9.81	33.66	26.37	22.14	27.67	22.16	33.45	97.99	18.44	26.21	8.08	9.65	48.47	47.07	121	2	2
143	20.20	26.00	26.30	9.00	11.00	26.30	76.19	33.66	16.45	31.31	22.79	17.49	9.08	33.94	24.89	19.98	26.09	24.01	35.67	100.75	17.98	26.75	7.22	8.39	50.76	48.50	106	2	1
144	20.00	26.90	27.30	9.20	10.90	27.80	82.57	31.40	16.43	31.89	23.87	21.46	8.31	32.44	23.92	23.09	25.67	24.18	35.68	104.31	19.18	26.05	7.92	9.44	49.86	48.24	120	1	1
145	20.10	26.50	26.60	9.20	10.50	27.30	78.45	32.01	17.02	31.40	22.64	18.46	8.85	33.08	22.58	18.82	26.04	24.60	36.50	100.39	18.10	25.17	7.58	9.91	50.18	48.16	129	1	1
146	20.70	28.70	29.70	9.90	11.20	28.30	83.23	32.61	19.17	33.61	24.90	19.35	9.81	38.52	26.04	22.78	26.78	22.84	37.98	106.14	19.04	24.74	7.31	9.41	48.29	46.40	117	2	1
147	19.90	26.60	26.50	10.00	10.30	26.10	79.09	28.93	16.14	30.52	23.33	20.25	9.11	34.41	22.82	20.40	24.99	21.59	35.79	99.86	17.41	24.21	6.98	8.95	48.96	46.83	138	1	1
148	20.80	27.80	28.00	9.70	11.20	27.10	79.65	30.47	16.72	32.07	23.90	20.96	10.48	31.98	23.75	22.71	23.84	22.28	35.19	105.41	18.36	27.70	7.67	9.76	51.88	49.48	115	1	1
149	20.10	28.20	28.70	9.30	10.40	27.50	77.67	34.21	17.14	30.49	23.70	18.89	10.58	33.70	24.12	21.31	24.43	21.31	36.07	102.82	18.57	25.00	7.32	10.00	48.90	47.12	135	1	1
150	19.90	27.10	26.70	9.30	10.50	28.50	78.96	31.53	17.09	30.84	22.82	20.11	10.19	34.59	25.98	21.98	26.85	22.30	36.30	104.54	20.36	28.11	7.83	9.96	50.70	48.46	132	2	1
151	20.90	27.50	27.50	9.80	11.30	27.20	80.96	32.95	18.02	31.64	24.45	19.56	10.54	33.22	23.24	21.66	23.24	23.23	36.75	105.34	18.00	27.92	6.89	9.01	50.64	48.56	122	1	1
152	20.10	26.20	27.50	9.40	10.20	27.60	76.20	31.16	16.58	32.27	23.19	19.78	9.98	31.88	24.34	20.93	24.21	21.76	35.77	100.25	18.98	26.35	7.50	9.23	48.27	45.95	134	2	1
153	17.60	23.10	23.50	7.50	8.80	21.70	66.40	26.50	14.11	24.92	21.19	16.78	8.85	27.13	19.67	17.01	22.12	18.57	30.37	84.53	15.71	21.78	6.29	9.36	42.05	40.06	119	1	1
154	19.80	26.60	26.10	8.60	10.70	26.00	73.24	32.50	14.70	28.86	23.94	16.91	8.85	29.45	21.74	17.80	24.84	20.35	34.62	94.47	18.71	24.30	7.52	9.62	47.53	45.82	62	1	1
155	18.30	23.00	23.10	8.20	9.90	24.40	69.07	28.74	15.08	24.99	22.68	17.11	8.20	29.51	21.95	20.41	24.12	21.08	32.79	91.62	18.49	25.90	8.52	9.84	49.34	47.68	94	2	1
156	19.30	25.00	24.70	8.90	10.60	26.50	69.86	28.32	16.72	28.01	22.45	16.30	9.15	29.40	22.68	16.66	24.11	20.78	34.44	92.42	17.28	23.93	6.72	9.34	45.68	43.57	76	2	1
157	18.00	22.70	22.00	7.20	9.40	24.40	70.89	29.28	14.38	24.51	22.70	17.84	8.80	28.33	20.96	17.32	21.78	19.28	32.03	91.55	17.93	25.33	7.68	9.31	48.06	46.56	77	1	1
158	17.20	23.20	23.20	7.80	8.90	23.10	65.30	27.73	14.19	25.57	19.61	16.41	9.06	29.23	20.14	18.69	21.69	18.81	31.35	88.05	14.64	22.61	6.27	8.25	42.59	40.59	95	1	1
160	19.80	24.60	25.30	8.20	9.80	28.60	79.57	32.01	16.35	31.62	24.36	20.84	9.69	32.64	23.71	22.67	25.56	22.43	34.98	101.11	20.43	27.94	8.55	11.03	52.69	50.20	75	1	2
161	19.20	24.90	25.80	8.60	9.90	27.00	76.82	34.55	16.13	28.70	24.37	20.85	9.02	31.55	23.40	20.60	25.26	21.09	34.04	98.51	18.25	26.34	6.81	9.32	49.04	46.89	107	2	2
162	18.10	22.70	25.00	8.50	9.00	24.60	77.15	31.53	15.18	30.20	23.47	19.40	9.93	29.97	22.05	21.00	22.30	19.35	31.40	94.75	16.68	23.64	6.50	9.20	45.85	44.16	104	1	2
163	17.40	22.20	23.30	8.10	8.80	23.90	70.05	29.66	14.42	25.86	22.17	17.58	8.00	29.78	21.89	20.95	22.03	18.64	30.10	91.40	16.60	24.33	5.60	9.12	45.75	43.53	95	1	2
164	19.40	22.70	23.40	8.30	9.90	28.70	77.16	31.42	16.92	32.89	25.70	21.37	9.57	34.17	24.30	22.31	26.44	22.38	32.66	100.50	19.23	23.85	7.71	10.27	47.06	44.55	75	1	2
165	17.10	21.70	22.80	7.60	8.30	22.80	66.41	29.15	14.01	23.87	21.39	16.24	7.96	29.01	20.31	16.81	20.49	17.52	28.34	84.52	16.61	22.77	5.89	8.44	43.71	41.60	99	1	2
